match_definition,city,_property_key,rows,unique_sale_dates,first_date,last_date
parcel_unit_like,אשדוד,אשדוד|2061-100|69.28||6.0|דירה בבית קומות|1970.0,2,2,2004-09-14,2007-01-17
parcel_unit_like,אשדוד,אשדוד|2061-127|48.0||9.0|דירה בבית קומות|2007.0,2,2,2014-07-27,2018-03-07
parcel_unit_like,אשדוד,אשדוד|2061-127|50.0||10.0|דירה בבית קומות|2007.0,5,5,2009-12-06,2014-04-23
parcel_unit_like,אשדוד,אשדוד|2061-127|50.0||11.0|דירה בבית קומות|2007.0,6,6,2002-10-31,2013-03-22
parcel_unit_like,אשדוד,אשדוד|2061-127|50.0||12.0|דירה בבית קומות|2007.0,8,7,2007-08-05,2022-04-04
parcel_unit_like,אשדוד,אשדוד|2061-127|50.0||3.0|דירה בבית קומות|2007.0,2,2,2011-01-24,2014-03-02
parcel_unit_like,אשדוד,אשדוד|2061-127|50.0||7.0|דירה בבית קומות|2007.0,7,7,2007-10-16,2018-05-10
parcel_unit_like,אשדוד,אשדוד|2061-127|50.0||8.0|דירה בבית קומות|2007.0,7,7,2007-07-04,2016-01-27
parcel_unit_like,אשדוד,אשדוד|2061-127|50.0||9.0|דירה בבית קומות|2007.0,6,6,2004-04-22,2015-11-12
parcel_unit_like,אשדוד,אשדוד|2061-127|50.0|||דירה בבית קומות|2007.0,6,5,2007-05-30,2013-02-27
parcel_unit_like,אשדוד,אשדוד|2061-127|55.0||10.0|דירה בבית קומות|2007.0,4,4,2010-05-24,2019-05-26
parcel_unit_like,אשדוד,אשדוד|2061-127|55.0||11.0|דירה בבית קומות|2007.0,3,3,2008-07-24,2017-09-17
parcel_unit_like,אשדוד,אשדוד|2061-127|55.0||7.0|דירה בבית קומות|2007.0,4,4,2008-08-25,2015-01-23
parcel_unit_like,אשדוד,אשדוד|2061-127|55.0||9.0|דירה בבית קומות|2007.0,2,2,2010-07-21,2019-09-26
parcel_unit_like,אשדוד,אשדוד|2061-127|60.0||2.0|דירה בבית קומות|2007.0,3,3,2004-12-13,2016-01-13
parcel_unit_like,אשדוד,אשדוד|2061-127|60.0||7.0|דירה בבית קומות|2007.0,3,3,2011-10-12,2021-09-19
parcel_unit_like,אשדוד,אשדוד|2061-127|60.0||7.0|לא צויין סוג|2007.0,4,4,1998-02-01,2002-12-19
parcel_unit_like,אשדוד,אשדוד|2061-127|60.0||9.0|דירה בבית קומות|2007.0,4,4,2009-01-05,2017-03-09
parcel_unit_like,אשדוד,אשדוד|2061-127|60.0|||דירה בבית קומות|2007.0,4,4,2007-03-19,2007-08-29
parcel_unit_like,אשדוד,אשדוד|2061-127|62.0||10.0|דירה בבית קומות|2007.0,2,2,2016-07-05,2020-07-14
parcel_unit_like,אשדוד,אשדוד|2061-127|64.0||1.0|דירה בבית קומות|2007.0,2,2,2004-06-01,2008-09-03
parcel_unit_like,אשדוד,אשדוד|2061-127|64.0||2.0|דירה בבית קומות|2007.0,2,2,2013-06-24,2019-07-04
parcel_unit_like,אשדוד,אשדוד|2061-127|64.0||3.0|דירה בבית קומות|2007.0,4,4,2007-11-14,2020-12-14
parcel_unit_like,אשדוד,אשדוד|2061-127|64.0||5.0|דירה בבית קומות|2007.0,7,7,2010-05-25,2024-06-04
parcel_unit_like,אשדוד,אשדוד|2061-127|64.0||6.0|דירה בבית קומות|2007.0,2,2,2018-06-17,2022-10-18
parcel_unit_like,אשדוד,אשדוד|2061-127|64.0||8.0|דירה בבית קומות|2007.0,2,2,2008-05-26,2021-07-22
