match_definition,city,GUSH,FULLADRESS,street,new_date,old_dates_for_property,price_millions,area,rooms,floor,apt type,New_Project,build_year,building age,build_floors,_property_key
parcel_unit_like,אשדוד,2072-3-61,"הבנים, אשדוד",הבנים,2003-05-01,1998-11-09,0.881,100.0,,11.0,לא צויין סוג ,2nd hand,1999.0,4.0,13.0,אשדוד|2072-3|100.0||11.0|לא צויין סוג|1999.0
parcel_unit_like,אשדוד,2072-3-59,"הבנים, אשדוד",הבנים,2003-06-15,1998-12-16,0.733,100.0,,13.0,לא צויין סוג ,2nd hand,1999.0,4.0,13.0,אשדוד|2072-3|100.0||13.0|לא צויין סוג|1999.0
parcel_unit_like,אשדוד,2071-57-6,"אליאשוילי, אשדוד",אליאשוילי,2003-07-18,1998-03-30;1998-11-29;1999-03-02,0.656,125.0,,8.0,לא צויין סוג ,2nd hand,1996.0,7.0,3.0,אשדוד|2071-57|125.0||8.0|לא צויין סוג|1996.0
parcel_unit_like,אשדוד,2647-70-6,"סירקין נחמן, אשדוד",סירקין נחמן,2003-07-23,1998-10-26,0.568,110.0,,3.0,לא צויין סוג ,2nd hand,2000.0,3.0,11.0,אשדוד|2647-70|110.0||3.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2647-70-6,"סירקין נחמן, אשדוד",סירקין נחמן,2003-07-23,1998-10-26,0.568,110.0,,3.0,לא צויין סוג ,2nd hand,2000.0,3.0,11.0,אשדוד|2647-70|110.0||3.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2061-30-94,"נורדאו, אשדוד",נורדאו,2003-12-21,1999-05-02,0.526,75.0,,6.0,לא צויין סוג ,2nd hand,1997.0,6.0,2.0,אשדוד|2061-30|75.0||6.0|לא צויין סוג|1997.0
parcel_unit_like,אשדוד,2061-30-94,"נורדאו, אשדוד",נורדאו,2003-12-21,1999-05-02,0.526,75.0,,6.0,לא צויין סוג ,2nd hand,1997.0,6.0,2.0,אשדוד|2061-30|75.0||6.0|לא צויין סוג|1997.0
parcel_unit_like,אשדוד,2061-30-94,"נורדאו, אשדוד",נורדאו,2003-12-21,1999-05-02,0.526,75.0,,6.0,לא צויין סוג ,2nd hand,1997.0,6.0,2.0,אשדוד|2061-30|75.0||6.0|לא צויין סוג|1997.0
parcel_unit_like,אשקלון,2556-8-20,"בלפור, אשקלון",בלפור,2000-03-19,1998-12-14,0.707,132.9,,4.0,לא צויין סוג ,2nd hand,1999.0,1.0,4.0,אשקלון|2556-8|132.9||4.0|לא צויין סוג|1999.0
parcel_unit_like,אשקלון,1934-203-21,"הר תבור, אשקלון",הר תבור,2000-04-04,1999-09-30,0.605,,,1.0,לא צויין סוג ,New Project,2000.0,0.0,,אשקלון|1934-203|||1.0|לא צויין סוג|2000.0
parcel_unit_like,אשקלון,2556-13-73,"אצ""ל, אשקלון","אצ""ל",2000-04-09,1998-02-01,0.755,129.82,,9.0,לא צויין סוג ,2nd hand,1998.0,2.0,9.0,אשקלון|2556-13|129.82||9.0|לא צויין סוג|1998.0
parcel_unit_like,אשקלון,1934-203-20,"הר תבור, אשקלון",הר תבור,2000-05-14,1999-09-26;1999-12-03,0.599,,,2.0,לא צויין סוג ,New Project,2000.0,0.0,,אשקלון|1934-203|||2.0|לא צויין סוג|2000.0
parcel_unit_like,אשקלון,1934-203-19,"הר תבור, אשקלון",הר תבור,2000-07-27,1999-10-05;1999-10-06,0.598,,,3.0,לא צויין סוג ,New Project,2000.0,0.0,,אשקלון|1934-203|||3.0|לא צויין סוג|2000.0
parcel_unit_like,אשקלון,1934-205-14,"הר ארבל, אשקלון",הר ארבל,2000-10-03,1999-12-30,0.724,,,1.0,לא צויין סוג ,2nd hand,1998.0,2.0,,אשקלון|1934-205|||1.0|לא צויין סוג|1998.0
parcel_unit_like,אשקלון,1934-203-18,"הר תבור, אשקלון",הר תבור,2000-10-15,1999-09-26;1999-12-03,0.757,,,2.0,לא צויין סוג ,New Project,2000.0,0.0,,אשקלון|1934-203|||2.0|לא צויין סוג|2000.0
parcel_unit_like,אשקלון,1934-205-12,"הר ארבל, אשקלון",הר ארבל,2001-01-10,1999-12-30,0.668,,,1.0,לא צויין סוג ,2nd hand,1998.0,3.0,,אשקלון|1934-205|||1.0|לא צויין סוג|1998.0
parcel_unit_like,אשקלון,2557-30-2,"דיזראלי, אשקלון",דיזראלי,2001-03-05,1999-12-26,0.948,153.45,,0.0,לא צויין סוג ,2nd hand,1999.0,2.0,,אשקלון|2557-30|153.45||0.0|לא צויין סוג|1999.0
parcel_unit_like,אשקלון,1934-205-11,"הר ארבל, אשקלון",הר ארבל,2001-04-16,1999-12-30,0.666,,,1.0,לא צויין סוג ,2nd hand,1998.0,3.0,,אשקלון|1934-205|||1.0|לא צויין סוג|1998.0
parcel_unit_like,אשקלון,1934-203-17,"הר תבור, אשקלון",הר תבור,2001-08-12,1999-09-30,0.693,,,1.0,לא צויין סוג ,2nd hand,2000.0,1.0,,אשקלון|1934-203|||1.0|לא צויין סוג|2000.0
parcel_unit_like,אשקלון,1934-205-8,"הר ארבל, אשקלון",הר ארבל,2002-05-19,1999-12-21;1999-12-22,0.72,120.0,,1.0,לא צויין סוג ,2nd hand,1998.0,4.0,,אשקלון|1934-205|120.0||1.0|לא צויין סוג|1998.0
parcel_unit_like,אשקלון,1996-136-6,"סמולנסקין, אשקלון",סמולנסקין,2021-01-07,2004-11-04,0.6,41.8,,0.0,דירה בבית קומות,2nd hand,1960.0,61.0,1.0,אשקלון|1996-136|41.8||0.0|דירה בבית קומות|1960.0
parcel_unit_like,באר שבע,38006-154-33,"נגבה, באר שבע",נגבה,1999-06-23,1999-08-29,0.398,82.0,,5.0,לא צויין סוג ,2nd hand,1959.0,40.0,1.0,באר שבע|38006-154|82.0||5.0|לא צויין סוג|1959.0
parcel_unit_like,באר שבע,38111-196-16,"אופירה, באר שבע",אופירה,1999-09-29,1999-12-23,0.523,83.5,,4.0,לא צויין סוג ,New Project,1999.0,0.0,9.0,באר שבע|38111-196|83.5||4.0|לא צויין סוג|1999.0
parcel_unit_like,באר שבע,38035-60-572,"קנדל הנרי, באר שבע",קנדל הנרי,1999-10-21,1998-11-09,0.683,126.0,,3.0,לא צויין סוג ,New Project,2000.0,-1.0,18.0,באר שבע|38035-60|126.0||3.0|לא צויין סוג|2000.0
parcel_unit_like,באר שבע,38006-154-28,"נגבה, באר שבע",נגבה,1999-11-07,1999-05-12;1999-06-20,0.55,104.0,,1.0,לא צויין סוג ,2nd hand,1959.0,40.0,1.0,באר שבע|38006-154|104.0||1.0|לא צויין סוג|1959.0
parcel_unit_like,באר שבע,38006-154-26,"נגבה, באר שבע",נגבה,2000-05-17,1999-01-26,0.435,90.0,,3.0,לא צויין סוג ,2nd hand,1959.0,41.0,1.0,באר שבע|38006-154|90.0||3.0|לא צויין סוג|1959.0
parcel_unit_like,באר שבע,38006-140-30,"ברק, באר שבע",ברק,2000-06-11,1999-10-19,0.31,60.0,,1.0,לא צויין סוג ,2nd hand,1960.0,40.0,1.0,באר שבע|38006-140|60.0||1.0|לא צויין סוג|1960.0
parcel_unit_like,באר שבע,38006-124-6,"ברק, באר שבע",ברק,2000-11-30,2000-05-07,0.527,129.0,,1.0,לא צויין סוג ,2nd hand,1999.0,1.0,,באר שבע|38006-124|129.0||1.0|לא צויין סוג|1999.0
parcel_unit_like,באר שבע,38006-142-23,"ברק, באר שבע",ברק,2000-12-24,2000-02-15,0.452,79.0,,8.0,לא צויין סוג ,2nd hand,1960.0,40.0,1.0,באר שבע|38006-142|79.0||8.0|לא צויין סוג|1960.0
parcel_unit_like,באר שבע,38006-161-22,"נגבה, באר שבע",נגבה,2001-01-09,1998-02-19,0.459,80.0,,7.0,לא צויין סוג ,2nd hand,1960.0,41.0,1.0,באר שבע|38006-161|80.0||7.0|לא צויין סוג|1960.0
parcel_unit_like,באר שבע,38006-162-19,"נגבה, באר שבע",נגבה,2001-04-16,1998-11-20,0.538,100.0,,4.0,לא צויין סוג ,2nd hand,1980.0,21.0,1.0,באר שבע|38006-162|100.0||4.0|לא צויין סוג|1980.0
parcel_unit_like,באר שבע,38006-161-17,"נגבה, באר שבע",נגבה,2001-06-08,1998-02-04,0.435,80.0,,1.0,לא צויין סוג ,2nd hand,1960.0,41.0,1.0,באר שבע|38006-161|80.0||1.0|לא צויין סוג|1960.0
parcel_unit_like,באר שבע,38035-60-534,"קנדל הנרי, באר שבע",קנדל הנרי,2001-08-31,1999-03-03,0.71,162.0,,15.0,לא צויין סוג ,2nd hand,2000.0,1.0,18.0,באר שבע|38035-60|162.0||15.0|לא צויין סוג|2000.0
parcel_unit_like,באר שבע,38006-161-13,"נגבה, באר שבע",נגבה,2001-11-11,1998-03-02;1998-04-07,0.439,80.0,,4.0,לא צויין סוג ,2nd hand,1960.0,41.0,1.0,באר שבע|38006-161|80.0||4.0|לא צויין סוג|1960.0
parcel_unit_like,באר שבע,38006-154-22,"נגבה, באר שבע",נגבה,2001-12-20,1998-11-20;1998-12-04;1998-12-21,0.448,99.0,,2.0,לא צויין סוג ,2nd hand,1959.0,42.0,1.0,באר שבע|38006-154|99.0||2.0|לא צויין סוג|1959.0
parcel_unit_like,באר שבע,38035-60-510,"קנדל הנרי, באר שבע",קנדל הנרי,2002-02-04,1999-03-03,0.672,162.0,,15.0,לא צויין סוג ,2nd hand,2000.0,2.0,18.0,באר שבע|38035-60|162.0||15.0|לא צויין סוג|2000.0
parcel_unit_like,באר שבע,38006-116-30,"אהוד בן גרא, באר שבע",אהוד בן גרא,2002-02-24,1998-04-21;1998-06-03,0.5,116.0,,8.0,לא צויין סוג ,2nd hand,1960.0,42.0,1.0,באר שבע|38006-116|116.0||8.0|לא צויין סוג|1960.0
parcel_unit_like,באר שבע,38006-154-21,"נגבה, באר שבע",נגבה,2002-03-14,1999-03-24,0.433,60.0,,4.0,לא צויין סוג ,2nd hand,1959.0,43.0,1.0,באר שבע|38006-154|60.0||4.0|לא צויין סוג|1959.0
parcel_unit_like,באר שבע,38006-141-12,"ברק, באר שבע",ברק,2003-02-14,1998-11-18,0.495,104.0,,3.0,לא צויין סוג ,2nd hand,1960.0,43.0,1.0,באר שבע|38006-141|104.0||3.0|לא צויין סוג|1960.0
parcel_unit_like,באר שבע,38035-60-447,"קנדל הנרי, באר שבע",קנדל הנרי,2003-06-26,1998-12-27,0.63,160.0,,15.0,לא צויין סוג ,2nd hand,2000.0,3.0,18.0,באר שבע|38035-60|160.0||15.0|לא צויין סוג|2000.0
parcel_unit_like,באר שבע,38006-154-17,"נגבה, באר שבע",נגבה,2003-10-15,1999-02-22,0.429,70.0,,2.0,לא צויין סוג ,2nd hand,1959.0,44.0,1.0,באר שבע|38006-154|70.0||2.0|לא צויין סוג|1959.0
parcel_unit_like,באר שבע,38366-7-1,"הרב שושנה, באר שבע",הרב שושנה,2010-12-08,2004-12-30,1.585,153.0,,0.0,קוטג' חד משפחתי,2nd hand,2002.0,8.0,,באר שבע|38366-7|153.0||0.0|קוטג' חד משפחתי|2002.0
parcel_unit_like,באר שבע,38366-7-4,"הרב שושנה, באר שבע",הרב שושנה,2015-06-10,2004-12-30,1.88,153.0,,0.0,קוטג' חד משפחתי,2nd hand,2002.0,13.0,,באר שבע|38366-7|153.0||0.0|קוטג' חד משפחתי|2002.0
parcel_unit_like,באר שבע,38018-52-25,"פריאר רחה, באר שבע",פריאר רחה,2016-11-08,2016-11-17,2.124,232.0,,7.0,משרד,New Project,2019.0,-3.0,8.0,באר שבע|38018-52|232.0||7.0|משרד|2019.0
parcel_unit_like,באר שבע,38018-52-26,"פריאר רחה, באר שבע",פריאר רחה,2016-11-10,2017-06-12,1.91,170.0,,6.0,משרד,New Project,2019.0,-3.0,8.0,באר שבע|38018-52|170.0||6.0|משרד|2019.0
parcel_unit_like,באר שבע,38018-52-80,"פריאר רחה, באר שבע",פריאר רחה,2018-04-22,2018-01-02,2.497248,232.0,,14.0,משרד,New Project,2019.0,-1.0,8.0,באר שבע|38018-52|232.0||14.0|משרד|2019.0
parcel_unit_like,באר שבע,38018-52-85,"פריאר רחה, באר שבע",פריאר רחה,2018-12-20,2017-07-04;2017-09-07,2.497248,232.0,,9.0,משרד,New Project,2019.0,-1.0,8.0,באר שבע|38018-52|232.0||9.0|משרד|2019.0
parcel_unit_like,באר שבע,38025-9-2,"אחד העם, באר שבע",אחד העם,2019-05-21,2004-06-29,0.72,48.0,,1.0,דירה בבית קומות,2nd hand,1950.0,69.0,3.0,באר שבע|38025-9|48.0||1.0|דירה בבית קומות|1950.0
parcel_unit_like,באר שבע,38018-52-188,"פריאר רחה, באר שבע",פריאר רחה,2019-11-19,2019-05-03,0.629694,46.0,,17.0,משרד,New Project,2019.0,0.0,8.0,באר שבע|38018-52|46.0||17.0|משרד|2019.0
parcel_unit_like,באר שבע,38025-9-5,"אחד העם, באר שבע",אחד העם,2020-01-05,2004-06-29,0.71,48.0,,1.0,דירה בבית קומות,2nd hand,1950.0,70.0,3.0,באר שבע|38025-9|48.0||1.0|דירה בבית קומות|1950.0
parcel_unit_like,באר שבע,38018-52-168,"פריאר רחה, באר שבע",פריאר רחה,2021-02-01,2019-08-13,2.120508,197.0,,8.0,משרד,2nd hand,2019.0,2.0,8.0,באר שבע|38018-52|197.0||8.0|משרד|2019.0
parcel_unit_like,באר שבע,38018-52-165,"פריאר רחה, באר שבע",פריאר רחה,2021-04-06,2017-05-29,2.272433,197.0,,7.0,משרד,2nd hand,2019.0,2.0,8.0,באר שבע|38018-52|197.0||7.0|משרד|2019.0
parcel_unit_like,באר שבע,38018-52-164,"פריאר רחה, באר שבע",פריאר רחה,2021-04-11,2020-03-05,1.60758,104.0,,17.0,משרד,2nd hand,2019.0,2.0,8.0,באר שבע|38018-52|104.0||17.0|משרד|2019.0
parcel_unit_like,באר שבע,38025-9-6,"אחד העם, באר שבע",אחד העם,2021-09-19,2004-06-29,0.751,48.0,,1.0,דירה בבית קומות,2nd hand,1950.0,71.0,3.0,באר שבע|38025-9|48.0||1.0|דירה בבית קומות|1950.0
parcel_unit_like,באר שבע,38018-52-140,"פריאר רחה, באר שבע",פריאר רחה,2021-09-30,2017-10-17;2017-12-17,2.218,170.0,,16.0,משרד,2nd hand,2019.0,2.0,8.0,באר שבע|38018-52|170.0||16.0|משרד|2019.0
parcel_unit_like,באר שבע,38018-52-143,"פריאר רחה, באר שבע",פריאר רחה,2021-11-09,2017-10-16,2.505,232.0,,6.0,משרד,2nd hand,2019.0,2.0,8.0,באר שבע|38018-52|232.0||6.0|משרד|2019.0
parcel_unit_like,באר שבע,38018-52-144,"פריאר רחה, באר שבע",פריאר רחה,2022-01-27,2017-09-24,2.364,197.0,,15.0,משרד,2nd hand,2019.0,3.0,8.0,באר שבע|38018-52|197.0||15.0|משרד|2019.0
parcel_unit_like,באר שבע,38018-52-146,"פריאר רחה, באר שבע",פריאר רחה,2023-06-21,2019-04-17;2020-01-27,1.0,80.0,,17.0,משרד,2nd hand,2019.0,4.0,8.0,באר שבע|38018-52|80.0||17.0|משרד|2019.0
parcel_unit_like,באר שבע,38072-21-6,"אברהם אבינו, באר שבע",אברהם אבינו,2023-07-21,2003-08-08,0.875,66.25,,3.0,דירה בבית קומות,2nd hand,1960.0,63.0,4.0,באר שבע|38072-21|66.25||3.0|דירה בבית קומות|1960.0
